1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Last Update,Year,Sub Region,BU,Cluster,Country,Category,Range,Campaign,Playb ID,MX ID,CDU Naming,Burst,Media,Media Subtype,PM Type,Initial Date,End Date,Duration (W),Duration (D),Initial Month (num),Initial Month,End Month,Total Budget,Q1,Q2,Q3,Q4,Budget Check,Total WOA,W Off Air,Total TRPs,Total R1+,Total R3+,NS vs WM,Medium vs Campaign Budget,Medium vs Range Buget,Campaign vs Range Budget,Campaign vs Category Budget,Range vs Category Budget,Count Unique Campaigns,Similarity Index,Bgt Unique Cmps,Count Similar Campaigns,Bgt Similar Cmp,Similarity Check,is Q1?,SIX excl Q1,Sum of Sim Campaign Budget,Biggest Budget for the Sim Cmpn (cluster),Country Flag,Lead Country,Media Lead,Country + BU,Category Leads,// Q1,// Q2,// Q3,// Q4,Sort Media Subtype,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Cellular,Cellular Lift,GL037,,Genie,1,TV,Open TV,Non PM,1-Aug-25,30-Sep-25,9,60,8,Aug,Sep, 323 ,,, 323 ,, TRUE ,,,,,,,31%,35%,39%,15%,39.0%, 0.37 , 0.14 , 322.91 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , -   , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Cellular,Cellular Lift,GL037,,Genie,1,Digital,PM & FF,Full Funnel Advanced,1-Aug-25,30-Sep-25,9,60,8,Aug,Sep, 376 ,,, 376 ,, TRUE ,,,,,,,52%,51%,39%,15%,39.0%, 0.37 , 0.14 , 376.46 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Cellular,Cellular Lift,GL037,,Genie,1,Digital,Influencers,Non PM,1-Aug-25,30-Sep-25,9,60,8,Aug,Sep, 77 ,,, 77 ,, TRUE ,,,,,,,6%,5%,39%,15%,39.0%, 0.37 , 0.14 , 77.45 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Epigenetics,Epigenetics,GL053,,Swan Lake,1,TV,Open TV,Non PM,1-Dec-25,30-Dec-25,4,29,12,Dec,Dec, 31 ,,,, 31 , TRUE ,,,,,,,50%,50%,100%,1%,0.7%, 0.37 , 0.50 , 31.00 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , -   , -   , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Q10,Q10 Range,GL008,,Q10 Rl Next Generation,1,TV,Open TV,Non PM,1-Feb-25,30-Mar-25,8,57,2,Feb,Mar, 536 , 536 ,,,, TRUE ,,,,,,,40%,37%,71%,43%,60.3%, 0.37 , 0.10 , 535.98 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , -   , -   , -   , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Q10,Q10 Range,GL067,,Guardian,2,TV,Open TV,Non PM,1-Oct-25,30-Nov-25,9,60,10,Oct,Nov, 536 ,,,, 536 , TRUE ,,,,,,,40%,37%,71%,43%,60.3%, 0.37 , 0.10 , 535.98 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , -   , 1.00 , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Q10,Q10 Range,GL008,,Q10 Rl Next Generation,1,Digital,PM & FF,Full Funnel Advanced,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 557 , 371 , 186 ,,, TRUE ,,,,,,,50%,51%,71%,43%,60.3%, 0.37 , 0.10 , 557.10 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Q10,Q10 Range,GL067,,Guardian,2,Digital,PM & FF,Full Funnel Advanced,1-Oct-25,30-Dec-25,13,90,10,Oct,Dec, 557 ,,,, 557 , TRUE ,,,,,,,50%,51%,71%,43%,60.3%, 0.37 , 0.10 , 557.10 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , -   , 1.00 , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Q10,Q10 Range,GL008,,Q10 Rl Next Generation,1,Digital,Influencers,Non PM,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 130 , 87 , 43 ,,, TRUE ,,,,,,,7%,5%,71%,43%,60.3%, 0.37 , 0.10 , 130.29 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Q10,Q10 Range,GL067,,Guardian,2,Digital,Influencers,Non PM,1-Oct-25,30-Dec-25,13,90,10,Oct,Dec, 130 ,,,, 130 , TRUE ,,,,,,,7%,5%,71%,43%,60.3%, 0.37 , 0.10 , 130.29 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , -   , 1.00 , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Cleansing,Daily Essentials,Daily Essentials,GL055,,Claro - Derma Skin Clear Rework,1,Digital,PM & FF,Full Funnel Advanced,1-Jun-25,30-Jul-25,8,59,6,Jun,Jul, 233 ,, 116 , 116 ,, TRUE ,,,,,,,55%,55%,100%,21%,20.5%, 0.37 , 0.20 , 232.57 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , 1.00 , 1.00 , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Cleansing,Daily Essentials,Daily Essentials,GL055,,Claro - Derma Skin Clear Rework,1,Digital,Influencers,Non PM,1-Jun-25,30-Jul-25,8,59,6,Jun,Jul, 122 ,, 61 , 61 ,, TRUE ,,,,,,,17%,17%,100%,21%,20.5%, 0.37 , 0.20 , 122.40 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , 1.00 , 1.00 , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Cleansing,Micellar,Micellar Core,GL012,,Siri,1,Digital,PM & FF,Full Funnel Advanced,1-Feb-25,30-May-25,17,118,2,Feb,May, 936 , 468 , 468 ,,, TRUE ,,,,,,,79%,58%,43%,34%,79.5%, 0.37 , 0.50 , 936.39 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Cleansing,Micellar,Micellar Core,GL012,,Siri,1,Digital,Influencers,Non PM,1-Feb-25,30-May-25,17,118,2,Feb,May, 245 , 122 , 122 ,,, TRUE ,,,,,,,21%,9%,43%,34%,79.5%, 0.37 , 0.50 , 244.81 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Hand Body,Milk,Body Milk 5 in 1,GL003,,NOLI,1,TV,Open TV,Non PM,1-May-25,30-Jul-25,13,90,5,May,Jul, 367 ,, 245 , 122 ,, TRUE ,,,,,,,42%,42%,100%,92%,91.9%, -   , 0.14 , -   , 0.11 , 367.21 , 6.00 , No , 0.43 ," 1,744.26 "," 1,744.26 ",  ,  ,  ,   ,  , -   , 1.00 , 1.00 , -   , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Hand Body,Milk,Body Milk 5 in 1,GL003,,NOLI,1,Digital,PM & FF,Full Funnel Advanced,1-May-25,30-Jul-25,13,90,5,May,Jul, 355 ,, 237 , 118 ,, TRUE ,,,,,,,43%,43%,100%,92%,91.9%, -   , 0.14 , -   , 0.11 , 354.97 , 6.00 , No , 0.43 ," 1,744.26 "," 1,744.26 ",  ,  ,  ,   ,  , -   , 1.00 , 1.00 , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Hand Body,Milk,Body Milk 5 in 1,GL003,,NOLI,1,Digital,Influencers,Non PM,1-May-25,30-Jul-25,13,90,5,May,Jul, 73 ,, 49 , 24 ,, TRUE ,,,,,,,4%,4%,100%,92%,91.9%, -   , 0.14 , -   , 0.11 , 73.44 , 6.00 , No , 0.43 ," 1,744.26 "," 1,744.26 ",  ,  ,  ,   ,  , -   , 1.00 , 1.00 , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Hand Body,Crème,Crème,GL001,,Lifecycle (Creme),1,Digital,PM & FF,Full Funnel Advanced,1-Jul-25,30-Aug-25,9,60,7,Jul,Aug, 122 ,,, 122 ,, TRUE ,,,,,,,80%,80%,100%,8%,8.1%, 0.37 , 0.50 , 122.40 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Hand Body,Crème,Crème,GL001,,Lifecycle (Creme),1,Digital,Influencers,Non PM,1-Jul-25,30-Aug-25,9,60,7,Jul,Aug, 31 ,,, 31 ,, TRUE ,,,,,,,20%,20%,100%,8%,8.1%, 0.37 , 0.50 , 30.60 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Lip,Lip,Lip,NA,,,1,Digital,PM & FF,Full Funnel Advanced,1-Apr-25,30-Aug-25,22,151,4,Apr,Aug, 306 ,, 153 , 153 ,, TRUE ,,,,,,,66%,66%,100%,100%,100.0%, 0.37 , 0.25 , 306.01 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , 1.00 , 1.00 , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Men,Deep,Deep Cleansing,EM019,,DEEP-2024-MULTI MU ,1,Digital,PM & FF,Full Funnel Advanced,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 122 , 76 , 46 ,,, TRUE ,,,,,,,67%,67%,100%,39%,38.5%, 0.37 , 0.20 , 122.00 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Men,Deep,Deep Cleansing,EM019,,DEEP-2024-MULTI MU ,1,Digital,Influencers,Non PM,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 92 , 62 , 31 ,,, TRUE ,,,,,,,25%,25%,100%,39%,38.5%, 0.37 , 0.20 , 92.42 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Men,Sensitive,Sensitive Moisture,GL,,,1,Digital,PM & FF,Full Funnel Advanced,1-Jul-25,30-Sep-25,13,91,7,Jul,Sep, 208 ,,, 208 ,, TRUE ,,,,,,,66%,66%,100%,61%,61.5%, 0.37 , 0.20 , 208.09 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Men,Sensitive,Sensitive Moisture,GL,,,1,Digital,Influencers,Non PM,1-Jul-25,30-Sep-25,13,91,7,Jul,Sep, 92 ,,, 92 ,, TRUE ,,,,,,,16%,16%,100%,61%,61.5%, 0.37 , 0.20 , 92.42 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Sun,Protect & Moisture,Protect & Moisture,GL050,,Nemo - Sun P&M Re-Launch,1,TV,Open TV,Non PM,1-Sep-25,30-Dec-25,17,120,9,Sep,Dec, 444 ,,, 111 , 333 , TRUE ,,,,,,,58%,58%,100%,74%,73.9%, 0.37 , 0.14 , 443.71 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Sun,Protect & Moisture,Protect & Moisture,GL050,,Nemo - Sun P&M Re-Launch,1,Digital,PM & FF,Full Funnel Advanced,1-Sep-25,30-Dec-25,17,120,9,Sep,Dec, 306 ,,, 77 , 230 , TRUE ,,,,,,,37%,37%,100%,74%,73.9%, 0.37 , 0.14 , 306.01 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Sun,Protect & Moisture,Protect & Moisture,GL050,,Nemo - Sun P&M Re-Launch,1,Digital,Influencers,Non PM,1-Sep-25,30-Dec-25,17,120,9,Sep,Dec, 21 ,,, 5 , 16 , TRUE ,,,,,,,1%,1%,100%,74%,73.9%, 0.37 , 0.14 , 21.42 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Sun,UV Face,UV Face,EM033,,FACE SUN CORE,1,Digital,PM & FF,Full Funnel Advanced,1-Oct-25,30-Dec-25,13,90,10,Oct,Dec, 272 ,,,, 272 , TRUE ,,,,,,,94%,94%,100%,26%,26.1%, 0.37 , 0.33 , 272.35 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , -   , 1.00 , 1 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Deo,Black & White,Black & White,GL005,,Checkmate,1,TV,Open TV,Non PM,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 998 , 900 , 98 ,,, TRUE , 12 ,, 200 ,58%,,,40%,40%,100%,42%,41.6%, -   , 0.20 , -   , 0.21 , 998.00 , 4.00 , Yes , 0.50 ,  , 841.80 ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 2 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Deo,Black & White,Black & White,GL005,,Checkmate,1,Digital,PM & FF,Full Funnel Advanced,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr," 1,485 "," 1,000 ", 485 ,,, TRUE , 4 ,,,60%,,,56%,56%,100%,42%,41.6%, -   , 0.20 , -   , 0.21 ," 1,485.00 ", 4.00 , Yes , 0.50 ,  , 841.80 ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Deo,Skin Hero,Skin Hero,GL056,,Skin Hero ,1,TV,Open TV,Non PM,1-Sep-25,30-Nov-25,13,90,9,Sep,Nov," 1,589 ",,, 589 ," 1,000 ", TRUE , 30 ,, 360 ,61%,,,36%,36%,100%,58%,58.4%, 0.33 , 0.14 ," 1,589.00 ", -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 2 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Deo,Skin Hero,Skin Hero,GL056,,Skin Hero ,1,OOH,OOH,Non PM,1-Sep-25,30-Nov-25,13,90,9,Sep,Nov, 413 ,,, 13 , 400 , TRUE , 15 ,,,,,,14%,14%,100%,58%,58.4%, 0.33 , 0.14 , 413.00 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 8 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Deo,Skin Hero,Skin Hero,GL056,,Skin Hero ,1,Digital,PM & FF,Full Funnel Advanced,1-Sep-25,30-Nov-25,13,90,9,Sep,Nov," 2,042 ",,, 42 ," 2,000 ", TRUE , 12 ,,,68%,,,48%,48%,100%,58%,58.4%, 0.33 , 0.14 ," 2,042.00 ", -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 1 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Luminous 630,Lucia,GL052,,Lucia,1,Digital,PM & FF,Full Funnel Advanced,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr," 1,300 ", 300 ," 1,000 ", -   , -   , TRUE , 12 ,,,62%,,,76%,53%,28%,10%,37.1%, -   , 0.17 , -   , 0.09 ," 1,300.00 ", 12.00 , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Luminous 630,Lucia,GL052,,Lucia,1,Digital,Influencers,Non PM,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 260 , 60 , 200 , -   , -   , TRUE , 15 ,,,,,,7%,5%,28%,10%,37.1%, -   , 0.17 , -   , 0.09 , 260.00 , 12.00 , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 4 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Facial,Potinhos,EM043,,POTINHOS-2024-BR,1,TV,Open TV,Non PM,1-Aug-25,30-Oct-25,13,90,8,Aug,Oct, 795 ,,, 95 , 700 , TRUE , 14 ,, 320 ,61%,,,39%,39%,40%,12%,29.0%, 0.33 , 0.13 , 795.00 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 2 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Facial,Potinhos,EM043,,POTINHOS-2024-BR,1,Digital,PM & FF,Full Funnel Advanced,1-Aug-25,30-Oct-25,13,90,8,Aug,Oct," 1,021 ",,, 21 ," 1,000 ", TRUE , 16 ,,,68%,,,48%,48%,40%,12%,29.0%, 0.33 , 0.13 ," 1,021.00 ", -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 1 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Facial,Potinhos,EM043,,POTINHOS-2024-BR,1,Digital,Influencers,Non PM,1-Aug-25,30-Oct-25,13,90,8,Aug,Oct, 204 ,,, 4 , 200 , TRUE , 18 ,,,,,,5%,4%,40%,12%,29.0%, 0.33 , 0.13 , 204.00 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 4 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Q10,Q10 Skin Diet,GL007,,Q10 Skin Diet ,1,OOH,OOH,Non PM,1-Mar-25,30-Aug-25,26,182,3,Mar,Aug, 413 , 13 , 200 , 200 ,, TRUE , 20 ,,,,,,10%,10%,100%,34%,33.9%, -   , 0.10 , -   , 0.09 , 413.00 , 3.00 , Yes , 0.43 ,  ," 1,332.03 ",  ,  ,  ,   ,  , 1.00 , 1.00 , 1.00 , -   , 8 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Q10,Q10 Skin Diet,GL007,,Q10 Skin Diet ,1,TV,Open TV,Non PM,1-Mar-25,30-Aug-25,26,182,3,Mar,Aug," 1,727 ", 27 , 700 ," 1,000 ",, TRUE ,,, 500 ,62%,,,32%,32%,100%,34%,33.9%, -   , 0.10 , -   , 0.09 ," 1,727.00 ", 3.00 , Yes , 0.43 ,  ," 1,332.03 ",  ,  ,  ,   ,  , 1.00 , 1.00 , 1.00 , -   , 2 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Q10,Q10 Skin Diet,GL007,,Q10 Skin Diet ,1,Digital,PM & FF,Full Funnel Advanced,1-Mar-25,30-Aug-25,26,182,3,Mar,Aug," 2,413 ", 13 ," 2,000 ", 400 ,, TRUE ,,,,64%,,,42%,42%,100%,34%,33.9%, -   , 0.10 , -   , 0.09 ," 2,413.00 ", 3.00 , Yes , 0.43 ,  ," 1,332.03 ",  ,  ,  ,   ,  , 1.00 , 1.00 , 1.00 , -   , 1 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Q10,Q10 Skin Diet,GL007,,Q10 Skin Diet ,1,Digital,Influencers,Non PM,1-Mar-25,30-Aug-25,26,182,3,Mar,Aug, 483 , 83 , 200 , 200 ,, TRUE ,,,,,,,4%,4%,100%,34%,33.9%, -   , 0.10 , -   , 0.09 , 483.00 , 3.00 , Yes , 0.43 ,  ," 1,332.03 ",  ,  ,  ,   ,  , 1.00 , 1.00 , 1.00 , -   , 4 ,
, ABP 2025 ,2025,LATAM,Nivea,LATAM,Brazil,Face Care,Luminous 630,Sirena,GL051,,Sirena,1,TV,Paid TV,Non PM,1-Sep-25,31-Dec-25,17,121,9,Sep,Dec," 2,047 ",,, 47 ," 2,000 ", TRUE ,,, 270 ,58%,,,22%,16%,72%,27%,37.1%, -   , 0.11 , -   , 0.09 ," 2,047.00 ", 12.00 , No , 1.83 ," 9,288.65 "," 9,288.65 ",###############################################################################################################################################################################################################################################################, Brazil , Juliana Spina , Brazil Nivea , Danilo Moreira , -   , -   , 1.00 , 1.00 , 3 ,
